[2026-05-13 19:28:38] Mode: EAGLE (Receiver - Benchmark)
[2026-05-13 19:28:38] [LR2021] Init OK
[2026-05-13 19:28:38] [EAGLE] Listening for packets...
[2026-05-13 19:28:49] 
[2026-05-13 19:28:49] ========= EAGLE BENCHMARK RESULTS =========
[2026-05-13 19:28:49]   Packets expected: 200
[2026-05-13 19:28:49]   Packets received: 200
[2026-05-13 19:28:49]   RX errors:        0
[2026-05-13 19:28:49]   Packet loss:      0.0 %
[2026-05-13 19:28:49]   Total RX bytes:   102200
[2026-05-13 19:28:49]   Elapsed time:     0.446 s
[2026-05-13 19:28:49]   Throughput:       1831.85 kbps
[2026-05-13 19:28:49] ==========================================
[2026-05-13 19:28:49] 
[2026-05-13 19:28:49] 
[2026-05-13 19:28:49] --- Per-packet log ---
[2026-05-13 19:28:49]   SEQ	RX ms	RSSI	Length
[2026-05-13 19:28:50]   0	288741	-0.5	0
[2026-05-13 19:28:50]   0	289124	0.0	6
[2026-05-13 19:28:50]   0	291860	-0.5	0
[2026-05-13 19:28:50]   17325	293663	-0.5	0
[2026-05-13 19:28:50]   35209	294036	-0.5	6
[2026-05-13 19:28:50]   0	296762	-0.5	0
[2026-05-13 19:28:50]   0	298546	-0.5	0
[2026-05-13 19:28:50]   0	298928	-0.5	6
[2026-05-13 19:28:50]   0	301663	-0.5	0
[2026-05-13 19:28:50]   0	303447	0.0	0
[2026-05-13 19:28:50]   0	303829	0.0	6
[2026-05-13 19:28:50]   0	306564	0.0	0
[2026-05-13 19:28:50]   0	308349	-0.5	0
[2026-05-13 19:28:50]   0	308726	0.0	6
[2026-05-13 19:28:50]   0	311466	-0.5	0
[2026-05-13 19:28:50]   0	313250	0.0	0
[2026-05-13 19:28:50]   0	313632	-0.5	6
[2026-05-13 19:28:50]   0	316367	-0.5	0
[2026-05-13 19:28:50]   0	318151	0.0	0
[2026-05-13 19:28:50]   0	318534	0.0	6
[2026-05-13 19:28:50]   0	321270	-0.5	0
[2026-05-13 19:28:50]   17325	323073	0.0	0
[2026-05-13 19:28:50]   0	323458	-0.5	6
[2026-05-13 19:28:50]   0	326171	0.0	0
[2026-05-13 19:28:50]   17325	327976	0.0	0
[2026-05-13 19:28:50]   0	328347	0.0	6
[2026-05-13 19:28:50]   0	331074	0.0	0
[2026-05-13 19:28:50]   17325	332879	0.0	0
[2026-05-13 19:28:50]   0	333262	0.0	6
[2026-05-13 19:28:50]   0	335973	0.0	0
[2026-05-13 19:28:50]   0	337761	0.0	0
[2026-05-13 19:28:50]   0	338143	0.0	6
[2026-05-13 19:28:50]   0	340883	0.0	0
[2026-05-13 19:28:50]   17325	342683	0.0	0
[2026-05-13 19:28:50]   35209	343056	0.0	6
[2026-05-13 19:28:50]   0	345781	0.0	0
[2026-05-13 19:28:50]   17325	347584	0.0	0
[2026-05-13 19:28:50]   0	347970	0.0	6
[2026-05-13 19:28:50]   0	350684	0.0	0
[2026-05-13 19:28:50]   0	352468	0.0	0
[2026-05-13 19:28:50]   0	352850	0.0	6
[2026-05-13 19:28:50]   0	355586	0.0	0
[2026-05-13 19:28:50]   17325	357389	0.0	0
[2026-05-13 19:28:50]   0	357774	0.0	6
[2026-05-13 19:28:50]   0	360486	0.0	0
[2026-05-13 19:28:51]   0	362272	0.0	0
[2026-05-13 19:28:51]   0	362654	0.0	6
[2026-05-13 19:28:51]   0	365389	0.0	0
[2026-05-13 19:28:51]   17325	367193	0.0	0
[2026-05-13 19:28:51]   35209	367566	0.0	6
[2026-05-13 19:28:51]   0	370290	0.0	0
[2026-05-13 19:28:51]   17325	372093	0.0	0
[2026-05-13 19:28:51]   0	372462	0.0	6
[2026-05-13 19:28:51]   0	375191	0.0	0
[2026-05-13 19:28:51]   17325	376994	0.0	0
[2026-05-13 19:28:51]   0	377382	0.0	6
[2026-05-13 19:28:51]   0	380092	0.0	0
[2026-05-13 19:28:51]   0	381880	0.0	0
[2026-05-13 19:28:51]   0	382259	0.0	6
[2026-05-13 19:28:51]   0	384997	0.0	0
[2026-05-13 19:28:51]   17325	386797	0.0	0
[2026-05-13 19:28:51]   0	387183	0.0	6
